Predictions,True Labels
19.931276,15.2
17.888763,16.9
18.067474,18.0
9.697365,6.8
9.48512,9.0
9.750937,8.8
11.401055,10.2
22.30172,28.1
16.708563,18.4
14.310617,18.5
19.451097,26.1
8.266166,3.5
16.63553,12.5
25.39519,28.8
9.822964,7.6
12.375488,16.3
20.460653,16.5
9.637558,6.2
16.520645,14.4
7.860055,10.0
10.878635,15.9
7.9620295,10.2
20.707355,16.3
18.95002,15.0
20.776493,22.5
12.252066,7.2
5.625754,2.6
15.180839,21.2
9.704497,11.3
11.062082,11.6
17.77958,18.5
9.260637,7.1
10.069129,2.2
14.708332,16.2
19.101301,21.2
22.720139,20.7
13.561902,15.9
17.835932,17.8
5.9453077,3.6
17.975574,22.1
10.278091,7.1
13.871403,17.9
18.91443,11.8
16.90138,19.5
13.550024,15.4
22.673264,27.3
5.627342,6.4
16.359419,16.4
24.08651,25.6
17.533314,19.4
9.652306,8.7
17.012196,19.4
15.401305,16.6
7.9742737,6.7
19.488163,18.8
13.138626,10.0
9.842838,5.7
22.177849,21.4
14.650459,9.9
18.09504,14.1
17.751328,18.8
8.851689,6.1
13.265785,18.3
9.109153,9.7
13.165089,19.0
11.098688,14.8
24.356735,22.4
19.097738,24.2
8.001699,7.1
21.40203,18.6
6.0231724,7.8
18.779778,21.5
11.234001,9.2
12.489383,12.1
16.57236,9.0
13.153027,18.5
24.03978,15.7
13.49751,12.9
20.022247,24.1
12.240913,19.4
12.011902,5.9
10.976573,10.2
12.456865,13.0
5.400319,3.7
12.301485,14.6
22.539467,28.6
19.963528,26.1
16.659584,14.9
17.004045,19.4
19.365707,15.8
18.588783,18.9
19.467098,15.2
10.865452,12.2
19.515982,24.0
18.580242,21.1
9.536536,5.3
19.987165,21.1
13.538969,12.5
17.34095,21.7
16.928574,18.0
17.405827,16.9
10.383295,6.9
5.7275877,2.0
9.253523,3.2
19.022873,18.4
11.102239,11.5
9.093407,10.6
8.725176,2.8
8.654772,6.7
9.129483,16.1
9.84867,8.2
19.70764,17.0
13.543949,8.4
22.888977,14.9
18.654774,18.1
20.00804,17.2
20.62121,15.9
19.938766,15.6
17.060411,21.8
12.13911,12.1
15.963214,8.2
5.7104907,5.6
7.0338,4.7
15.711154,15.9
8.965675,4.5
20.367313,24.9
21.300919,20.1
6.9817343,7.3
17.420177,22.5
18.334824,18.3
18.239582,17.9
20.672256,19.3
17.404593,22.7
19.520294,17.8
11.512698,6.4
16.7468,14.5
19.365707,18.9
12.966639,15.1
11.815594,13.3
11.259769,7.6
20.540352,23.8
11.616041,10.8
18.78756,23.1
26.068148,19.9
10.637587,16.3
12.801199,12.0
18.941273,20.4
19.960743,22.6
22.968678,26.8
11.484658,12.4
17.043926,17.3
7.0731993,4.0
8.495687,5.2
10.98554,7.9
15.589097,15.1
21.240772,20.7
18.403618,22.1
14.229961,11.9
10.411144,12.4
11.564049,9.1
15.878282,13.5
10.722129,12.8
5.2595625,3.7
25.327744,27.6
22.107927,16.3
6.774417,2.4
5.2921658,3.5
9.8775,2.0
22.715252,15.0
12.210939,14.0
14.840494,21.2
17.636719,20.8
13.584297,16.8
14.805154,8.5
7.008768,8.8
8.805731,16.0
8.821766,9.1
9.284624,10.0
16.568855,14.1
9.769333,13.0
14.680392,11.3
8.626896,9.2
18.90738,23.5
7.947684,5.4
13.925284,11.9
7.927163,14.7
11.260857,5.2
22.494045,24.7
18.27531,16.2
18.40849,18.0
22.61354,24.3
14.175005,16.7
12.114702,11.9
11.791687,11.6
8.879339,7.4
12.431352,11.3
10.233941,9.9
9.169321,8.5
13.679293,9.2
21.717537,18.3
14.263561,13.7
12.436022,10.7
13.282627,15.2
9.000093,9.0
23.37603,24.7
12.858798,17.8
8.95866,6.0
16.438522,20.2
10.972179,5.4
11.68436,11.5
12.915026,12.4
13.373211,11.2
13.772801,16.8
20.4892,20.0
12.589731,14.6
10.20816,6.1
20.307888,23.5
19.453491,19.8
16.243223,25.8
21.1472,25.4
13.88513,11.4
11.986601,11.4
14.336912,13.0
10.107672,10.1
18.061493,13.2
15.449701,14.7
22.9747,19.5
15.020053,13.7
11.547088,7.6
11.096204,3.0
12.863007,20.1
14.477339,10.0
13.746713,15.6
12.6445675,9.2
12.010828,6.3
13.550968,9.8
